2025-03-30 23:48:43,827 - INFO - Timestep 24645| Episode 39/500000 | Score: 3.00 | Avg Reward: 0.87 | Epsilon: 1.0000 | Time: 0.68s |
2025-03-30 23:48:44,248 - INFO - Timestep 25274| Episode 40/500000 | Score: 1.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:48:44,602 - INFO - Timestep 25801| Episode 41/500000 | Score: 0.00 | Avg Reward: 0.85 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:48:45,190 - INFO - Timestep 26684| Episode 42/500000 | Score: 2.00 | Avg Reward: 0.88 | Epsilon: 1.0000 | Time: 0.59s |
2025-03-30 23:48:45,693 - INFO - Timestep 27435| Episode 43/500000 | Score: 2.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.50s |
2025-03-30 23:48:46,099 - INFO - Timestep 28044| Episode 44/500000 | Score: 1.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:48:46,441 - INFO - Timestep 28555| Episode 45/500000 | Score: 0.00 | Avg Reward: 0.89 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:46,969 - INFO - Timestep 29357| Episode 46/500000 | Score: 2.00 | Avg Reward: 0.91 | Epsilon: 1.0000 | Time: 0.53s |
Model saved!
2025-03-30 23:48:47,508 - INFO - Timestep 30156| Episode 47/500000 | Score: 2.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.54s |
2025-03-30 23:48:48,090 - INFO - Timestep 31031| Episode 48/500000 | Score: 2.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.58s |
2025-03-30 23:48:48,423 - INFO - Timestep 31530| Episode 49/500000 | Score: 0.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:48,882 - INFO - Timestep 32218| Episode 50/500000 | Score: 1.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:49,219 - INFO - Timestep 32723| Episode 51/500000 | Score: 0.00 | Avg Reward: 0.92 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:49,546 - INFO - Timestep 33212| Episode 52/500000 | Score: 0.00 | Avg Reward: 0.90 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:50,204 - INFO - Timestep 34198| Episode 53/500000 | Score: 3.00 | Avg Reward: 0.94 | Epsilon: 1.0000 | Time: 0.66s |
2025-03-30 23:48:50,542 - INFO - Timestep 34703| Episode 54/500000 | Score: 0.00 | Avg Reward: 0.93 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:51,205 - INFO - Timestep 35687| Episode 55/500000 | Score: 3.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.66s |
2025-03-30 23:48:51,624 - INFO - Timestep 36312| Episode 56/500000 | Score: 1.00 | Avg Reward: 0.96 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:48:52,406 - INFO - Timestep 37502| Episode 57/500000 | Score: 4.00 | Avg Reward: 1.02 | Epsilon: 1.0000 | Time: 0.78s |
2025-03-30 23:48:52,863 - INFO - Timestep 38194| Episode 58/500000 | Score: 1.00 | Avg Reward: 1.02 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:53,398 - INFO - Timestep 39000| Episode 59/500000 | Score: 2.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.53s |
2025-03-30 23:48:53,939 - INFO - Timestep 39798| Episode 60/500000 | Score: 2.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.54s |
Model saved!
2025-03-30 23:48:54,352 - INFO - Timestep 40405| Episode 61/500000 | Score: 1.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:48:54,681 - INFO - Timestep 40896| Episode 62/500000 | Score: 0.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:48:55,141 - INFO - Timestep 41588| Episode 63/500000 | Score: 1.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:55,594 - INFO - Timestep 42269| Episode 64/500000 | Score: 1.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:48:56,274 - INFO - Timestep 43258| Episode 65/500000 | Score: 3.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.68s |
2025-03-30 23:48:56,731 - INFO - Timestep 43953| Episode 66/500000 | Score: 1.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:48:57,349 - INFO - Timestep 44883| Episode 67/500000 | Score: 3.00 | Avg Reward: 1.09 | Epsilon: 1.0000 | Time: 0.62s |
