2025-03-30 23:56:42,823 - INFO - Timestep 29164| Episode 39/500000 | Score: 0.00 | Avg Reward: 1.51 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:43,160 - INFO - Timestep 29666| Episode 40/500000 | Score: 0.00 | Avg Reward: 1.48 | Epsilon: 1.0000 | Time: 0.34s |
Model saved!
2025-03-30 23:56:43,770 - INFO - Timestep 30552| Episode 41/500000 | Score: 2.00 | Avg Reward: 1.49 | Epsilon: 1.0000 | Time: 0.61s |
2025-03-30 23:56:44,110 - INFO - Timestep 31057| Episode 42/500000 | Score: 0.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:44,563 - INFO - Timestep 31736| Episode 43/500000 | Score: 1.00 | Avg Reward: 1.44 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:56:44,969 - INFO - Timestep 32341| Episode 44/500000 | Score: 1.00 | Avg Reward: 1.43 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:56:45,599 - INFO - Timestep 33271| Episode 45/500000 | Score: 3.00 | Avg Reward: 1.47 | Epsilon: 1.0000 | Time: 0.63s |
2025-03-30 23:56:46,061 - INFO - Timestep 33959| Episode 46/500000 | Score: 1.00 | Avg Reward: 1.46 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:56:46,463 - INFO - Timestep 34562| Episode 47/500000 | Score: 1.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.40s |
2025-03-30 23:56:46,801 - INFO - Timestep 35067| Episode 48/500000 | Score: 0.00 | Avg Reward: 1.42 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:47,204 - INFO - Timestep 35673| Episode 49/500000 | Score: 1.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.40s |
2025-03-30 23:56:47,608 - INFO - Timestep 36283| Episode 50/500000 | Score: 1.00 | Avg Reward: 1.40 | Epsilon: 1.0000 | Time: 0.40s |
2025-03-30 23:56:48,142 - INFO - Timestep 37082| Episode 51/500000 | Score: 2.00 | Avg Reward: 1.41 | Epsilon: 1.0000 | Time: 0.53s |
2025-03-30 23:56:48,478 - INFO - Timestep 37590| Episode 52/500000 | Score: 0.00 | Avg Reward: 1.38 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:49,389 - INFO - Timestep 38976| Episode 53/500000 | Score: 5.00 | Avg Reward: 1.45 | Epsilon: 1.0000 | Time: 0.91s |
2025-03-30 23:56:49,721 - INFO - Timestep 39469| Episode 54/500000 | Score: 0.00 | Avg Reward: 1.43 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:50,052 - INFO - Timestep 39963| Episode 55/500000 | Score: 0.00 | Avg Reward: 1.40 | Epsilon: 1.0000 | Time: 0.33s |
Model saved!
2025-03-30 23:56:50,516 - INFO - Timestep 40576| Episode 56/500000 | Score: 1.00 | Avg Reward: 1.39 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:56:50,930 - INFO - Timestep 41080| Episode 57/500000 | Score: 0.00 | Avg Reward: 1.37 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:56:51,337 - INFO - Timestep 41582| Episode 58/500000 | Score: 0.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:56:51,733 - INFO - Timestep 42090| Episode 59/500000 | Score: 0.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.40s |
2025-03-30 23:56:52,082 - INFO - Timestep 42589| Episode 60/500000 | Score: 0.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:56:52,413 - INFO - Timestep 43075| Episode 61/500000 | Score: 0.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.33s |
2025-03-30 23:56:52,750 - INFO - Timestep 43573| Episode 62/500000 | Score: 0.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:53,307 - INFO - Timestep 44382| Episode 63/500000 | Score: 2.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.56s |
