2025-03-30 21:58:09,580 - INFO - Timestep 19870| Episode 29/500000 | Score: 1.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.48s | Actions: Counter({1: 8, 2: 8, 3: 7, 0: 6})
Model saved!
2025-03-30 21:58:10,096 - INFO - Timestep 20603| Episode 30/500000 | Score: 2.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.52s | Actions: Counter({1: 8, 3: 8, 2: 8, 0: 6})
2025-03-30 21:58:10,475 - INFO - Timestep 21106| Episode 31/500000 | Score: 0.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.38s | Actions: Counter({1: 8, 3: 8, 2: 8, 0: 7})
2025-03-30 21:58:11,162 - INFO - Timestep 21906| Episode 32/500000 | Score: 2.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.69s | Actions: Counter({1: 9, 3: 8, 2: 8, 0: 7})
2025-03-30 21:58:12,071 - INFO - Timestep 23122| Episode 33/500000 | Score: 4.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.91s | Actions: Counter({1: 9, 3: 9, 2: 8, 0: 7})
2025-03-30 21:58:12,554 - INFO - Timestep 23815| Episode 34/500000 | Score: 1.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.48s | Actions: Counter({1: 10, 3: 9, 2: 8, 0: 7})
2025-03-30 21:58:12,992 - INFO - Timestep 24449| Episode 35/500000 | Score: 1.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.44s | Actions: Counter({1: 11, 3: 9, 2: 8, 0: 7})
2025-03-30 21:58:13,342 - INFO - Timestep 24950| Episode 36/500000 | Score: 0.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.35s | Actions: Counter({1: 12, 3: 9, 2: 8, 0: 7})
2025-03-30 21:58:13,698 - INFO - Timestep 25464| Episode 37/500000 | Score: 0.00 | Avg Reward: 1.22 | Epsilon: 1.0000 | Time: 0.36s | Actions: Counter({1: 13, 3: 9, 2: 8, 0: 7})
2025-03-30 21:58:14,172 - INFO - Timestep 26155| Episode 38/500000 | Score: 1.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.47s | Actions: Counter({1: 14, 3: 9, 2: 8, 0: 7})
2025-03-30 21:58:14,503 - INFO - Timestep 26651| Episode 39/500000 | Score: 0.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.33s | Actions: Counter({1: 14, 3: 9, 2: 8, 0: 8})
