2025-03-28 09:50:16,958 - INFO - Frames_seen 7071| Episode 39/500000 | Score: 0.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:17,202 - INFO - Frames_seen 7204| Episode 40/500000 | Score: 0.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:17,446 - INFO - Frames_seen 7342| Episode 41/500000 | Score: 0.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:17,774 - INFO - Frames_seen 7562| Episode 42/500000 | Score: 3.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 09:50:17,977 - INFO - Frames_seen 7699| Episode 43/500000 | Score: 0.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 09:50:18,302 - INFO - Frames_seen 7908| Episode 44/500000 | Score: 2.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 09:50:18,543 - INFO - Frames_seen 8069| Episode 45/500000 | Score: 1.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:18,804 - INFO - Frames_seen 8231| Episode 46/500000 | Score: 1.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 09:50:19,175 - INFO - Frames_seen 8463| Episode 47/500000 | Score: 2.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 09:50:19,689 - INFO - Frames_seen 8738| Episode 48/500000 | Score: 3.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.51s
2025-03-28 09:50:20,064 - INFO - Frames_seen 8948| Episode 49/500000 | Score: 2.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.37s
2025-03-28 09:50:20,484 - INFO - Frames_seen 9157| Episode 50/500000 | Score: 2.00 | Avg Reward: 1.26 | Epsilon: 1.0000 | Time: 0.42s
2025-03-28 09:50:20,718 - INFO - Frames_seen 9295| Episode 51/500000 | Score: 0.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 09:50:20,931 - INFO - Frames_seen 9431| Episode 52/500000 | Score: 0.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 09:50:21,411 - INFO - Frames_seen 9654| Episode 53/500000 | Score: 2.00 | Avg Reward: 1.23 | Epsilon: 1.0000 | Time: 0.48s
2025-03-28 09:50:21,692 - INFO - Frames_seen 9785| Episode 54/500000 | Score: 0.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:21,974 - INFO - Frames_seen 9919| Episode 55/500000 | Score: 0.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.28s
Model saved!
2025-03-28 09:50:22,338 - INFO - Frames_seen 10077| Episode 56/500000 | Score: 1.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.36s
2025-03-28 09:50:22,691 - INFO - Frames_seen 10258| Episode 57/500000 | Score: 1.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.35s
2025-03-28 09:50:22,918 - INFO - Frames_seen 10382| Episode 58/500000 | Score: 0.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.23s
2025-03-28 09:50:23,195 - INFO - Frames_seen 10519| Episode 59/500000 | Score: 0.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:23,480 - INFO - Frames_seen 10644| Episode 60/500000 | Score: 0.00 | Avg Reward: 1.12 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:24,033 - INFO - Frames_seen 10885| Episode 61/500000 | Score: 2.00 | Avg Reward: 1.13 | Epsilon: 1.0000 | Time: 0.55s
2025-03-28 09:50:24,465 - INFO - Frames_seen 11104| Episode 62/500000 | Score: 2.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.43s
2025-03-28 09:50:24,860 - INFO - Frames_seen 11292| Episode 63/500000 | Score: 1.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.39s
2025-03-28 09:50:25,275 - INFO - Frames_seen 11515| Episode 64/500000 | Score: 2.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.42s
2025-03-28 09:50:25,775 - INFO - Frames_seen 11748| Episode 65/500000 | Score: 2.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.50s
2025-03-28 09:50:25,994 - INFO - Frames_seen 11883| Episode 66/500000 | Score: 0.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.22s
2025-03-28 09:50:26,306 - INFO - Frames_seen 12046| Episode 67/500000 | Score: 1.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 09:50:26,594 - INFO - Frames_seen 12207| Episode 68/500000 | Score: 1.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 09:50:26,832 - INFO - Frames_seen 12359| Episode 69/500000 | Score: 0.00 | Avg Reward: 1.13 | Epsilon: 1.0000 | Time: 0.24s
2025-03-28 09:50:27,043 - INFO - Frames_seen 12489| Episode 70/500000 | Score: 0.00 | Avg Reward: 1.11 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 09:50:27,458 - INFO - Frames_seen 12652| Episode 71/500000 | Score: 1.00 | Avg Reward: 1.11 | Epsilon: 1.0000 | Time: 0.41s
2025-03-28 09:50:27,779 - INFO - Frames_seen 12783| Episode 72/500000 | Score: 0.00 | Avg Reward: 1.10 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 09:50:28,114 - INFO - Frames_seen 12916| Episode 73/500000 | Score: 0.00 | Avg Reward: 1.08 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 09:50:28,402 - INFO - Frames_seen 13047| Episode 74/500000 | Score: 0.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.29s
2025-03-28 09:50:28,701 - INFO - Frames_seen 13183| Episode 75/500000 | Score: 0.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 09:50:29,010 - INFO - Frames_seen 13341| Episode 76/500000 | Score: 1.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.31s
2025-03-28 09:50:29,459 - INFO - Frames_seen 13529| Episode 77/500000 | Score: 2.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.45s
2025-03-28 09:50:29,715 - INFO - Frames_seen 13690| Episode 78/500000 | Score: 1.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 09:50:29,920 - INFO - Frames_seen 13820| Episode 79/500000 | Score: 0.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.20s
2025-03-28 09:50:30,316 - INFO - Frames_seen 14059| Episode 80/500000 | Score: 3.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.40s
2025-03-28 09:50:30,642 - INFO - Frames_seen 14235| Episode 81/500000 | Score: 1.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 09:50:30,900 - INFO - Frames_seen 14395| Episode 82/500000 | Score: 0.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.26s
2025-03-28 09:50:31,197 - INFO - Frames_seen 14582| Episode 83/500000 | Score: 2.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.30s
2025-03-28 09:50:31,482 - INFO - Frames_seen 14753| Episode 84/500000 | Score: 1.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.28s
2025-03-28 09:50:31,698 - INFO - Frames_seen 14884| Episode 85/500000 | Score: 0.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.21s
2025-03-28 09:50:32,038 - INFO - Frames_seen 15094| Episode 86/500000 | Score: 2.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.34s
2025-03-28 09:50:32,359 - INFO - Frames_seen 15263| Episode 87/500000 | Score: 1.00 | Avg Reward: 1.07 | Epsilon: 1.0000 | Time: 0.32s
2025-03-28 09:50:32,577 - INFO - Frames_seen 15388| Episode 88/500000 | Score: 0.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.22s
2025-03-28 09:50:32,767 - INFO - Frames_seen 15516| Episode 89/500000 | Score: 0.00 | Avg Reward: 1.04 | Epsilon: 1.0000 | Time: 0.19s
2025-03-28 09:50:33,099 - INFO - Frames_seen 15743| Episode 90/500000 | Score: 2.00 | Avg Reward: 1.06 | Epsilon: 1.0000 | Time: 0.33s
2025-03-28 09:50:33,371 - INFO - Frames_seen 15922| Episode 91/500000 | Score: 1.00 | Avg Reward: 1.05 | Epsilon: 1.0000 | Time: 0.27s
2025-03-28 09:50:33,618 - INFO - Frames_seen 16093| Episode 92/500000 | Score: 0.00 | Avg Reward: 1.04 | Epsilon: 1.0000 | Time: 0.25s
2025-03-28 09:50:33,835 - INFO - Frames_seen 16239| Episode 93/500000 | Score: 0.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.22s
2025-03-28 09:50:34,091 - INFO - Frames_seen 16398| Episode 94/500000 | Score: 1.00 | Avg Reward: 1.03 | Epsilon: 1.0000 | Time: 0.25s
